vanilla aim at enemy

measurement without profiler: 730 us
profiler overhead: 155 us

self=2.1 (2.1) us, cum=904.2 (904.2) us, calls=1                           src\mod_wot_profiler.py:78 profilerCall()
                  self=36.1 (9.0) us, cum=39.1 (9.8) us, calls=4                             scripts/client_common/shared_utils/vehicle_utils.py:137 getMatinfo()
                    self=4.3 (0.4) us, cum=4.3 (0.4) us, calls=10                              ~:0 <method 'get' of 'dict' objects>()
                    self=1.3 (0.2) us, cum=1.3 (0.2) us, calls=6                               scripts/client_common/vehicle_appearance/common_tank_appearance.py:249 <lambda>()
                    self=0.4 (0.1) us, cum=0.4 (0.1) us, calls=4                               ~:0 <len>()
                  self=4.5 (1.1) us, cum=4.5 (1.1) us, calls=4                               scripts/client/Vehicle.py:177 isWheeledTech()
                self=2.6 (0.6) us, cum=2.6 (0.6) us, calls=4                               ~:0 <built-in method entity>()
              self=14.3 (14.3) us, cum=14.3 (14.3) us, calls=1                           ~:0 <built-in method wg_getCappedShotTargetInfos>()
              self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
            self=2.1 (2.1) us, cum=5.1 (5.1) us, calls=1                               scripts/client_common/ClientArena.py:444 getSpaceBB()
              self=1.7 (1.7) us, cum=1.7 (1.7) us, calls=1                               scripts/client_common/ClientArena.py:783 getMinBounds()
              self=1.3 (1.3) us, cum=1.3 (1.3) us, calls=1                               scripts/client_common/ClientArena.py:786 getMaxBounds()
            self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
            self=0.8 (0.8) us, cum=0.8 (0.8) us, calls=1                               scripts/client/VehicleGunRotator.py:977 getAttachedVehicleID()
          self=10.2 (1.5) us, cum=17.6 (2.5) us, calls=7                             scripts/client/Avatar.py:3509 getVehicleDescriptor()
            self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
          self=5.0 (0.6) us, cum=6.4 (0.7) us, calls=9                               scripts/client/BattleReplay.py:241 <lambda>()
            self=1.4 (0.2) us, cum=1.4 (0.2) us, calls=9                               ~:0 <built-in method isPlaying>()
        self=1.4 (1.4) us, cum=28.9 (28.9) us, calls=1                             scripts/client/VehicleGunRotator.py:412 getCurShotPosition()
          self=23.2 (11.6) us, cum=50.8 (25.4) us, calls=2                           scripts/client/VehicleGunRotator.py:940 __getShotPosition()
            self=11.3 (3.8) us, cum=32.5 (10.8) us, calls=3                            scripts/client/VehicleGunRotator.py:1134 getAvatarOwnVehicleStabilisedMatrix()
              self=28.3 (2.8) us, cum=28.3 (2.8) us, calls=10                            scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
              self=6.9 (1.4) us, cum=18.1 (3.6) us, calls=5                              scripts/client/Avatar.py:3342 getOwnVehicleStabilisedMatrix()
                self=4.8 (1.0) us, cum=11.2 (2.2) us, calls=5                              scripts/client/avatar_components/AvatarObserver.py:180 getObservedVehicleStabilisedMatrix()
                  self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
                  self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
              self=5.3 (0.9) us, cum=5.3 (0.9) us, calls=6                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
            self=10.2 (1.5) us, cum=17.6 (2.5) us, calls=7                             scripts/client/Avatar.py:3509 getVehicleDescriptor()
              self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
            self=1.7 (0.8) us, cum=1.7 (0.8) us, calls=2                               ~:0 <built-in method applyPoint>()
